Article Title,Slug,Category,Sub-Category,Owner,Tags,Meta Description
CI/CD Pipeline Security,ci-cd-pipeline-security,Application Security,DevSecOps,Wilson S,"ci-cd, pipeline, security","Secure CI/CD pipelines from compromise and supply chain attacks."
Dependency Scanning,dependency-scanning-sca,Application Security,Tools,Wilson S,"dependency, scanning, sca","Scan dependencies for vulnerabilities with SCA tools."
Container Image Scanning,container-image-scanning-tools,Application Security,Containers,Wilson S,"container, scanning, security","Scan container images for vulnerabilities before deployment."
Infrastructure as Code Security,infrastructure-as-code-security,Application Security,IaC,Wilson S,"iac, security, terraform","Secure infrastructure as code templates and deployments."
Secrets Management,secrets-management-vault,Application Security,Security,Wilson S,"secrets, vault, management","Manage application secrets securely with vault solutions."
API Gateway Security,api-gateway-security,Application Security,API,Wilson S,"api gateway, security, protection","Secure API gateways protecting backend services."
GraphQL Security,graphql-security-best-practices,Application Security,API,Wilson S,"graphql, security, api","Secure GraphQL APIs against common vulnerabilities."
Microservices Security,microservices-security-architecture,Application Security,Architecture,Wilson S,"microservices, security, architecture","Secure microservices architectures with proper controls."
Session Management Security,session-management-security,Application Security,Web Security,Wilson S,"session, management, security","Implement secure session management for web applications."
Cookie Security,cookie-security-best-practices,Application Security,Web Security,Wilson S,"cookie, security, web","Secure cookies with proper attributes and encryption."
Content Security Policy,content-security-policy-csp,Application Security,Web Security,Wilson S,"csp, content security, web","Implement Content Security Policy for XSS prevention."
Subresource Integrity,subresource-integrity-sri,Application Security,Web Security,Wilson S,"sri, integrity, security","Use Subresource Integrity protecting against CDN compromise."
CORS Security,cors-security-configuration,Application Security,Web Security,Wilson S,"cors, security, web","Configure CORS securely for cross-origin resource sharing."
OAuth Security Best Practices,oauth-security-best-practices,Application Security,API,Wilson S,"oauth, security, best practices","Implement OAuth securely avoiding common pitfalls."
JWT Security,jwt-security-best-practices,Application Security,API,Wilson S,"jwt, token, security","Secure JSON Web Tokens with proper validation and storage."
Email Gateway Configuration,email-gateway-configuration,Communication Security,Email,Wilson S,"email gateway, configuration, security","Configure email gateways for comprehensive email security."
Email Encryption Solutions,email-encryption-solutions-guide,Communication Security,Email,Wilson S,"email encryption, security, smime","Implement email encryption with S/MIME or PGP."
Email Spoofing Prevention,email-spoofing-prevention,Communication Security,Email,Wilson S,"email spoofing, prevention, security","Prevent email spoofing with SPF, DKIM, and DMARC."
Collaboration Platform Security,collaboration-platform-security,Communication Security,Platforms,Wilson S,"collaboration, teams, security","Secure collaboration platforms like Teams and Slack."
Video Conferencing Security,video-conferencing-security,Communication Security,Conferencing,Wilson S,"video conference, zoom, security","Secure video conferencing and prevent zoombombing."
Unified Communications Security,unified-communications-security,Communication Security,UC,Wilson S,"uc, communications, security","Secure unified communications platforms."
VoIP Fraud Prevention,voip-fraud-prevention,Communication Security,VoIP,Wilson S,"voip fraud, prevention, security","Prevent VoIP fraud and toll fraud attacks."
SIP Security,sip-security-best-practices,Communication Security,VoIP,Wilson S,"sip, voip, security","Secure SIP protocol against attacks and eavesdropping."
WebRTC Security,webrtc-security-considerations,Communication Security,Web,Wilson S,"webrtc, security, web","Secure WebRTC implementations in web applications."
DNS Filtering,dns-filtering-security,Communication Security,DNS,Wilson S,"dns filtering, security, protection","Implement DNS filtering for malware and phishing protection."
DNS Tunneling Detection,dns-tunneling-detection,Communication Security,DNS,Wilson S,"dns tunneling, detection, security","Detect DNS tunneling used for data exfiltration."
CDN Security,cdn-security-configuration,Communication Security,Web,Wilson S,"cdn, security, cloudflare","Secure content delivery networks and edge caching."
DDoS Mitigation,ddos-mitigation-strategies,Communication Security,Protection,Wilson S,"ddos, mitigation, protection","Mitigate DDoS attacks protecting availability."
Network Time Protocol Security,ntp-security-configuration,Communication Security,Protocols,Wilson S,"ntp, security, time","Secure NTP preventing time-based attacks."
SNMP Security,snmp-security-v3,Communication Security,Protocols,Wilson S,"snmp, security, monitoring","Secure SNMP for safe network monitoring."
FTP Security Alternatives,ftp-security-alternatives,Communication Security,Protocols,Wilson S,"ftp, sftp, security","Replace FTP with secure alternatives like SFTP."
Remote Desktop Security,remote-desktop-security-rdp,Communication Security,Remote Access,Wilson S,"rdp, remote desktop, security","Secure Remote Desktop Protocol against attacks."
SSH Hardening,ssh-hardening-security,Communication Security,Protocols,Wilson S,"ssh, hardening, security","Harden SSH for secure remote administration."
Industrial IoT Security,industrial-iot-security,Emerging Technologies,IIoT,Wilson S,"iiot, industrial iot, security","Secure Industrial IoT devices and networks."
Smart City Security,smart-city-security-challenges,Emerging Technologies,IoT,Wilson S,"smart city, iot, security","Address security challenges in smart city deployments."
